Name,Gender,Specialization,Subspecialties,Qualifications,Years of Experience,Hospital Affiliation,Department,City,State,Availability,Language 1,Language 2,Language 3,Consultation Fees,Patient Ratings,Insurance Accepted,
Allison Mcmillan,Female,Pediatrics,Sports Medicine,DO,11,Barnes-Wise,Outpatient,New York,NY,"Tuesday, 17:00 - 20:00",English,,,$406.00,3.1,PrimeHealth Assurance
Mr. Steven Brooks,Male,Gastroenterology,Pediatric,MD,7,Wright-Kim,Outpatient,Los Angeles,CA,"Tuesday, 16:00 - 20:00",English,,,$184.00,1.3,HarmonyHealth Plans
Ann Austin,Female,Psychiatry,Geriatric,MS,23,Lucero PLC,Emergency,Phoenix,AZ,"Tuesday, 9:00 - 18:00",English,French,,$206.00,3.7,GuardianHealth Solutions
Julie Johnson,Female,Dermatology,Sleep Medicine,MS,32,Gill PLC,Outpatient,Houston,TX,"Monday, 8:00 - 18:00",English,,,$273.00,2.8,VitalityCare Health
Christopher Brown,Male,Endocrinology,Addiction Medicine,MD,25,Murphy-Montgomery,Radiology,Chicago,IL,"Thursday, 17:00 - 18:00",English,Hindi,Spanish,$198.00,2.8,OptimumCare Health
Christopher Hamilton,Male,Cardiology,Sleep Medicine,MS,31,Jones PLC,Outpatient,Los Angeles,CA,"Wednesday, 11:00 - 18:00",English,Hindi,Mandarin,$350.00,2.7,LifeShield Insurance
Mark Ward,Male,Pediatrics,Addiction Medicine,MD,25,Meza-Preston,General Medicine,New York,NY,"Wednesday, 15:00 - 18:00",English,Hindi,,$204.00,2.3,EverCare Insurance
Julie Carey,Female,Dermatology,Sleep Medicine,MD,11,Griffin-Herring,Outpatient,Houston,TX,"Monday, 10:00 - 18:00",English,Spanish,Hindi,$438.00,3.8,GuardianHealth Solutions
Douglas Wells,Male,Dermatology,Pediatric,DO,8,Gregory-Gibbs,Outpatient,Phoenix,AZ,"Monday, 11:00 - 19:00",English,French,,$454.00,3.6,LifeShield Insurance
Richard Braun,Male,Dermatology,Sports Medicine,MD,28,Forbes-Walsh,Surgery,Houston,TX,"Tuesday, 14:00 - 19:00",English,Hindi,,$496.00,2.3,HealthFirst Coverage
Stephen Williamson,Male,Neurology,Addiction Medicine,MBBS,37,"Sherman, Mooney and Weber",Radiology,Houston,TX,"Monday, 9:00 - 20:00",English,,,$333.00,1.7,PremierWell Insurance
Michael White,Male,Pediatrics,Addiction Medicine,MD,16,"Sanchez, Roy and Wright",Radiology,Houston,TX,"Friday, 15:00 - 20:00",English,Hindi,Spanish,$205.00,4.7,LifeWell Coverage
Taylor Sanford,Female,Dermatology,Sleep Medicine,MBBS,11,Adams-Brown,Outpatient,Phoenix,AZ,"Wednesday, 16:00 - 20:00",English,Mandarin,French,$152.00,1.1,HarmonyHealth Plans
Brittney Reyes,Female,Gastroenterology,Sleep Medicine,MD,29,Jennings Group,Surgery,Los Angeles,CA,"Tuesday, 14:00 - 18:00",English,,,$230.00,4.9,EverCare Insurance
Eric Williams,Male,Oncology,Pediatric,MD,27,"Carr, Bush and Bush",General Medicine,Phoenix,AZ,"Thursday, 9:00 - 18:00",English,Hindi,,$170.00,3.5,HealthFirst Coverage
Robert Ramos,Male,Neurology,Sports Medicine,DO,14,Mendoza and Sons,General Medicine,Los Angeles,CA,"Friday, 17:00 - 19:00",English,Hindi,,$349.00,1.9,VitalityCare Health
Michelle Chen,Female,Dermatology,Addiction Medicine,MD,15,"Lee, Burke and Rivers",Emergency,Houston,TX,"Friday, 17:00 - 18:00",English,Spanish,Mandarin,$474.00,1.7,UnityWell Insurance
Taylor Baker,Male,Endocrinology,Geriatric,MS,27,Li-Nelson,Emergency,Houston,TX,"Thursday, 12:00 - 19:00",English,,,$298.00,1.7,SuperiorHealth Plans
Brendan Olson,Male,Dermatology,Geriatric,MS,5,"Torres, Mejia and Moore",Radiology,Los Angeles,CA,"Friday, 17:00 - 19:00",English,Mandarin,,$238.00,2.4,HealthGuard Assurance
David Meadows,Male,Neurology,Addiction Medicine,MD,25,Tran Ltd,General Medicine,Los Angeles,CA,"Wednesday, 8:00 - 19:00",English,,,$401.00,2.7,BrightWell Insurance
Matthew Gentry,Male,Endocrinology,Pediatric,MD,29,Rosario Ltd,Radiology,Houston,TX,"Monday, 15:00 - 18:00",English,,,$452.00,2,SuperiorHealth Plans
Sara Jimenez,Female,Endocrinology,Pediatric,DO,28,Edwards LLC,Radiology,Los Angeles,CA,"Thursday, 17:00 - 20:00",English,,,$115.00,4.2,TrueHealth Insurance
